t,x,y,psi,u,v,r,tau_u,tau_v,tau_r,current_x,current_y,distance
0.0,2.5,0.0,0.0,0.0,0.0,0.0,-25.235,0.0,0.0,0.0,0.0,2.5
0.01,2.4999258399859445,0.0,0.0,-0.014825753327360894,0.0,0.0,-25.061102719163593,0.0,0.0,0.0,0.0,2.4999258399859445
0.02,2.4997041285551354,0.0,0.0,-0.02950957085319816,0.0,0.0,-24.88653107126119,0.0,0.0,0.0,0.0,2.4997041285551354
0.03,2.4993363081770905,0.0,0.0,-0.0440468551037043,0.0,0.0,-24.711371732653724,0.0,0.0,0.0,0.0,2.4993363081770905
0.04,2.498823866290106,0.0,0.0,-0.058433210403592714,0.0,0.0,-24.535709401146818,0.0,0.0,0.0,0.0,2.498823866290106
0.05,2.498168333271669,0.0,0.0,-0.07266444511905087,0.0,0.0,-24.35962672913033,0.0,0.0,0.0,0.0,2.498168333271669
0.06,2.497371280388946,0.0,0.0,-0.0867365734008945,0.0,0.0,-24.183204263305228,0.0,0.0,0.0,0.0,2.497371280388946
0.07,2.4964343177343,0.0,0.0,-0.10064581643658518,0.0,0.0,-24.006520390965285,0.0,0.0,0.0,0.0,2.4964343177343
0.08,2.495359092150695,0.0,0.0,-0.11438860322150528,0.0,0.0,-23.829651292775285,0.0,0.0,0.0,0.0,2.495359092150695
0.09,2.494147285151742,0.0,0.0,-0.12796157086149643,0.0,0.0,-23.65267090196305,0.0,0.0,0.0,0.0,2.494147285151742
0.1,2.4928006108410017,0.0,0.0,-0.1413615644201576,0.0,0.0,-23.47565086981949,0.0,0.0,0.0,0.0,2.4928006108410017
0.11,2.4913208138350282,0.0,0.0,-0.15458563632575892,0.0,0.0,-23.298660537379423,0.0,0.0,0.0,0.0,2.4913208138350282
0.12,2.489709667194475,0.0,0.0,-0.1676310453538571,0.0,0.0,-23.121766913135957,0.0,0.0,0.0,0.0,2.489709667194475
0.13,2.4879689703674224,0.0,0.0,-0.18049525520279372,0.0,0.0,-22.94503465662308,0.0,0.0,0.0,0.0,2.4879689703674224
0.14,2.4861005471489057,0.0,0.0,-0.19317593268021926,0.0,0.0,-22.768526067684547,0.0,0.0,0.0,0.0,2.4861005471489057
0.15,2.4841062436604457,0.0,0.0,-0.20567094551961296,0.0,0.0,-22.592301081232264,0.0,0.0,0.0,0.0,2.4841062436604457
0.16,2.4819879263531757,0.0,0.0,-0.21797835984646277,0.0,0.0,-22.416417267284334,0.0,0.0,0.0,0.0,2.4819879263531757
0.17,2.4797474800379735,0.0,0.0,-0.23009643731433407,0.0,0.0,-22.240929836061447,0.0,0.0,0.0,0.0,2.4797474800379735
0.18,2.4773868059457946,0.0,0.0,-0.24202363193149098,0.0,0.0,-22.065891647910675,0.0,0.0,0.0,0.0,2.4773868059457946
0.19,2.474907819821197,0.0,0.0,-0.2537585865990479,0.0,0.0,-21.89135322781765,0.0,0.0,0.0,0.0,2.474907819821197
0.2,2.4723124500518368,0.0,0.0,-0.2653001293818213,0.0,0.0,-21.717362784261635,0.0,0.0,0.0,0.0,2.4723124500518368
0.21,2.4696026358364995,0.0,0.0,-0.2766472695331328,0.0,0.0,-21.543966232163115,0.0,0.0,0.0,0.0,2.4696026358364995
0.22,2.4667803253940255,0.0,0.0,-0.2877991932947848,0.0,0.0,-21.371207219670303,0.0,0.0,0.0,0.0,2.4667803253940255
0.23,2.4638474742152683,0.0,0.0,-0.29875525949330145,0.0,0.0,-21.199127158528825,0.0,0.0,0.0,0.0,2.4638474742152683
0.24,2.460806043360021,0.0,0.0,-0.3095149949533015,0.0,0.0,-21.027765257778377,0.0,0.0,0.0,0.0,2.460806043360021
0.25,2.4576579978006374,0.0,0.0,-0.3200780897485561,0.0,0.0,-20.85715856052092,0.0,0.0,0.0,0.0,2.4576579978006374
0.26,2.4544053048138648,0.0,0.0,-0.330444392310891,0.0,0.0,-20.68734198350667,0.0,0.0,0.0,0.0,2.4544053048138648
0.27,2.4510499324222184,0.0,0.0,-0.3406139044166215,0.0,0.0,-20.518348359287362,0.0,0.0,0.0,0.0,2.4510499324222184
0.28,2.447593847886021,0.0,0.0,-0.35058677606967587,0.0,0.0,-20.350208480690196,0.0,0.0,0.0,0.0,2.447593847886021
0.29,2.44403901624705,0.0,0.0,-0.36036330029996566,0.0,0.0,-20.182951147370844,0.0,0.0,0.0,0.0,2.44403901624705
0.3,2.440387398924548,0.0,0.0,-0.3699439078949152,0.0,0.0,-20.016603214209624,0.0,0.0,0.0,0.0,2.440387398924548
0.31,2.436640952364179,0.0,0.0,-0.37932916208136935,0.0,0.0,-19.851189641321735,0.0,0.0,0.0,0.0,2.436640952364179
0.32,2.4328016267403467,0.0,0.0,-0.3885197531743685,0.0,0.0,-19.68673354545927,0.0,0.0,0.0,0.0,2.4328016267403467
0.33,2.4288713647121183,0.0,0.0,-0.39751649320851623,0.0,0.0,-19.52325625259089,0.0,0.0,0.0,0.0,2.4288713647121183
